id,play_by_play_id,previous_play_by_play_id,nhl_game_id,nhl_event_id,season_id,game_date,fact_version,event_type,attempt_result,is_shot_attempt,is_unblocked_attempt,is_shot_on_goal,is_goal,team_id,opponent_team_id,shooter_player_id,goalie_player_id,blocking_player_id,period,period_type,period_bucket,seconds_in_game,seconds_since_last_event,time_bucket,situation_code,strength,strength_bucket,home_score,away_score,score_differential,score_state_bucket,x_coord,y_coord,shot_distance,shot_angle,abs_shot_angle,distance_bucket,angle_bucket,zone_code,zone_bucket,shot_type,shot_type_bucket,is_rebound,rebound_window_seconds,rebound_bucket,is_rush,rush_bucket,is_empty_net,net_state_bucket,previous_event_type,previous_event_team_id,previous_event_seconds_delta,facts_payload,created_at,updated_at,is_rush_attempt,is_rush_sequence,rush_sequence_origin_play_by_play_id
1,1173790,1173789,2025030415,67,20252026,2026-06-11,shot_attempt_facts_v1,blocked-shot,blocked_shot,true,false,false,false,54,12,8476448,,8480336,1,REG,p1,74,,early_period,1551,EV,ev,0,0,0,tied,75,30,33.11,-64.983,64.983,d_030_035,a_060_070,D,defensive,,unknown,false,3,not_rebound,,unknown,false,goalie_in_net,giveaway,12,18,"{""previous_team_shot_play_by_play_id"":null,""previous_team_shot_seconds_delta"":null,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
2,1173794,1173793,2025030415,151,20252026,2026-06-11,shot_attempt_facts_v1,blocked-shot,blocked_shot,true,false,false,false,54,12,8478468,,8476921,1,REG,p1,78,,early_period,1551,EV,ev,0,0,0,tied,51,38,53.74,-45.000,45.000,d_050_055,a_040_050,D,defensive,,unknown,false,3,not_rebound,,unknown,false,goalie_in_net,giveaway,54,0,"{""previous_team_shot_play_by_play_id"":1173790,""previous_team_shot_seconds_delta"":4,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
3,1173804,1173803,2025030415,101,20252026,2026-06-11,shot_attempt_facts_v1,missed-shot,missed_shot,true,true,false,false,12,54,8482702,8479394,,1,REG,p1,221,,early_period,1551,EV,ev,0,0,0,tied,-87,26,26.08,-94.399,94.399,d_025_030,a_090_plus,O,offensive,snap,snap,false,3,not_rebound,,unknown,false,goalie_in_net,hit,12,7,"{""previous_team_shot_play_by_play_id"":null,""previous_team_shot_seconds_delta"":null,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
4,1173805,1173804,2025030415,102,20252026,2026-06-11,shot_attempt_facts_v1,shot-on-goal,saved_shot,true,true,true,false,12,54,8475791,8479394,,1,REG,p1,225,,early_period,1551,EV,ev,0,0,0,tied,-67,28,35.61,-128.157,128.157,d_035_040,a_090_plus,O,offensive,snap,snap,false,3,not_rebound,,unknown,false,goalie_in_net,missed-shot,12,4,"{""previous_team_shot_play_by_play_id"":1173804,""previous_team_shot_seconds_delta"":4,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
5,1173808,1173807,2025030415,111,20252026,2026-06-11,shot_attempt_facts_v1,shot-on-goal,saved_shot,true,true,true,false,12,54,8478970,8479394,,1,REG,p1,275,,early_period,1551,EV,ev,0,0,0,tied,-55,21,39.96,-148.299,148.299,d_035_040,a_090_plus,O,offensive,slap,slap,false,3,not_rebound,,unknown,false,goalie_in_net,hit,54,8,"{""previous_team_shot_play_by_play_id"":1173805,""previous_team_shot_seconds_delta"":50,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
6,1173818,1173817,2025030415,202,20252026,2026-06-11,shot_attempt_facts_v1,goal,goal,true,true,true,true,54,12,8481604,8483548,,1,REG,p1,412,,middle_period,1541,PP,pp,0,1,1,leading_by_1,81,9,12.04,-48.366,48.366,d_010_015,a_040_050,O,offensive,snap,snap,false,3,not_rebound,,unknown,false,goalie_in_net,faceoff,12,28,"{""previous_team_shot_play_by_play_id"":1173794,""previous_team_shot_seconds_delta"":334,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
7,1173823,1173822,2025030415,223,20252026,2026-06-11,shot_attempt_facts_v1,shot-on-goal,saved_shot,true,true,true,false,54,12,8478483,8483548,,1,REG,p1,484,,middle_period,1551,EV,ev,0,0,0,tied,56,16,36.67,-25.866,25.866,d_035_040,a_020_030,O,offensive,snap,snap,false,3,not_rebound,,unknown,false,goalie_in_net,faceoff,12,9,"{""previous_team_shot_play_by_play_id"":1173818,""previous_team_shot_seconds_delta"":72,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
8,1173824,1173823,2025030415,301,20252026,2026-06-11,shot_attempt_facts_v1,shot-on-goal,saved_shot,true,true,true,false,54,12,8475913,8483548,,1,REG,p1,486,,middle_period,1551,EV,ev,0,0,0,tied,82,7,9.90,-45.000,45.000,d_005_010,a_040_050,O,offensive,snap,snap,true,3,rebound,,unknown,false,goalie_in_net,shot-on-goal,54,2,"{""previous_team_shot_play_by_play_id"":1173823,""previous_team_shot_seconds_delta"":2,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
9,1173825,1173824,2025030415,351,20252026,2026-06-11,shot_attempt_facts_v1,blocked-shot,blocked_shot,true,false,false,false,12,54,8480830,,8478483,1,REG,p1,501,,middle_period,1551,EV,ev,0,0,0,tied,-84,-35,35.36,98.130,98.130,d_035_040,a_090_plus,D,defensive,,unknown,false,3,not_rebound,,unknown,false,goalie_in_net,shot-on-goal,54,15,"{""previous_team_shot_play_by_play_id"":1173808,""previous_team_shot_seconds_delta"":226,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
10,1173830,1173829,2025030415,234,20252026,2026-06-11,shot_attempt_facts_v1,missed-shot,missed_shot,true,true,false,false,54,12,8481604,8483548,,1,REG,p1,536,,middle_period,1551,EV,ev,0,0,0,tied,52,32,48.92,-40.855,40.855,d_045_050,a_040_050,O,offensive,wrist,wrist,false,3,not_rebound,,unknown,false,goalie_in_net,giveaway,12,9,"{""previous_team_shot_play_by_play_id"":1173824,""previous_team_shot_seconds_delta"":50,""source"":""shot_attempt_facts_v1""}",2026-07-27 15:03:04,2026-07-27 15:03:23,,,
