nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025030123,3571007,0,1,28.18,62.526,snap,not_rebound,not_rush,ev,right,true,hit,4,tied,early_period,p2
2025030123,3571013,0,1,48.80,134.170,slap,not_rebound,not_rush,ev,left,false,shot-on-goal,29,tied,early_period,p2
2025030123,3571021,1,1,43.83,145.222,snap,not_rebound,rush_attempt,ev,right,true,giveaway,5,tied,early_period,p2
2025020617,3214312,0,1,25.06,151.390,wrist,not_rebound,not_rush,pp,left,false,faceoff,6,tied,middle_period,p1
2025020617,3214317,0,1,36.89,122.829,wrist,not_rebound,not_rush,pp,right,true,hit,20,tied,middle_period,p1
2025020617,3214318,0,1,45.65,151.189,wrist,not_rebound,not_rush,pp,left,false,shot-on-goal,8,tied,middle_period,p1
2025020617,3214320,0,1,178.21,9.039,wrist,not_rebound,not_rush,ev,left,true,blocked-shot,8,tied,middle_period,p1
2025020617,3214321,0,1,53.76,136.507,wrist,not_rebound,not_rush,ev,right,true,shot-on-goal,10,tied,middle_period,p1
2025030123,3571045,0,1,18.68,15.524,snap,not_rebound,not_rush,ev,center,unknown,blocked-shot,32,trailing_by_1,early_period,p2
2025030123,3571055,0,1,14.32,167.905,snap,not_rebound,not_rush,ev,center,unknown,blocked-shot,22,leading_by_1,early_period,p2
2025030123,3571078,0,1,68.01,36.027,snap,not_rebound,not_rush,ev,right,true,hit,21,trailing_by_1,middle_period,p2
2025030123,3571089,0,1,44.20,37.648,snap,not_rebound,not_rush,ev,left,false,hit,6,trailing_by_1,middle_period,p2
2025030123,3571134,0,1,159.00,0.360,snap,not_rebound,not_rush,ev,center,unknown,takeaway,5,trailing_by_1,middle_period,p2
2025020124,3445008,0,1,7.81,39.806,wrist,not_rebound,not_rush,ev,center,unknown,hit,12,trailing_by_1,early_period,p1
2025020124,3445010,0,0,7.21,146.310,tip,not_rebound,not_rush,ev,center,unknown,hit,10,leading_by_1,early_period,p1
2025020124,3445026,0,0,29.15,30.964,wrist,not_rebound,not_rush,ev,right,true,hit,23,trailing_by_1,middle_period,p1
