"*03kq8*","1","Mikkel Aagaard","","F","750000"
"*04xla*","2","Leevi Aaltonen","NYR","F","750000"
"*031sv*","3","Miro Aaltonen","","F","750000"
"*060w9*","4","Wyatt Aamodt","COL","D","812500"
"*071wn*","5","Niklas Aaram-Olsen","VAN","F","750000"
"*060vk*","6","Joseph Abate","BOS","F","750000"
"*04ybg*","7","Peter Abbandonato","PIT","F","750000"
"*01zrf*","8","Konrad Abeltshauser","","D","750000"
"*02dpy*","9","Pontus Aberg","","F","750000"
"*01mzm*","10","Cameron Abney","","F","750000"
"*03rxe*","11","Rodrigo Abols","PHI","F","750000"
"*04zr6*","12","Mikhail Abramov","STL","F","750000"
"*03yua*","13","Vitaly Abramov","OTT","F","750000"
"*05y9j*","14","Gavin Abric","","G","750000"
"*05oz0*","15","Ruslan Abrosimov","","F","750000"
"*050nl*","16","Nick Abruzzese","TBL","F","850000"
"*05907*","17","Matt Abt","PIT","D","750000"
"*03pd1*","18","Noel Acciari","PHI","F","750000"
"*03d03*","19","Carl Ackered","","D","750000"
"*025nk*","20","Sena Acolatse","","D","750000"
"*031vd*","21","Will Acton","","F","750000"
"*01gea*","22","Luke Adam","","F","750000"
"*05rah*","23","Olivier Adam","","G","750000"
"*042ym*","24","Collin Adams","","F","750000"
"*04f7p*","25","John Adams","DET","F","750000"
"*02ye7*","26","Mark Adams","","D","750000"
"*06cdu*","27","Tanner Adams","","F","750000"
"*04xb9*","28","Morgan Adams-Moisan","CHI","F","750000"
"*04lcz*","29","Calen Addison","","D","775000"
"*03rk2*","30","Jeremiah Addison","","F","750000"
"*05o4g*","31","David Aebischer","","D","750000"
"*06yds*","32","Mike Aeschlimann","","F","750000"
"*04zou*","33","Egor Afanasyev","SJS","F","800000"
"*06sq3*","34","Maxim Agafonov","SEA","D","750000"
"*01zss*","35","Kenny Agostino","","F","750000"
"*02ygs*","36","Andrew Agozzino","UTA","F","775000"
"*051tu*","37","Layton Ahac","","D","750000"
"*04aoy*","38","Jack Ahcan","NSH","D","875000"
"*05gcz*","39","Roman Ahcan","CBJ","F","750000"
"*03rge*","40","Filip Ahl","","F","750000"
"*04ffu*","41","Adam Ahman","","G","750000"
"*005i7*","42","Jonas Ahnelov","","D","750000"
"*05lun*","43","Karri Aho","","D","750000"
"*03el6*","44","Sebastian Aho","PIT","D","750000"
"*03rmx*","45","Sebastian Aho","CAR","F","9750000"
"*05uvz*","46","Cade Ahrenholz","","F","750000"
"*067zz*","47","Danil Aimurzin","","F","750000"
"*076wv*","48","Juuso Ainasto","TOR","G","750000"
"*051wc*","49","Santeri Airola","PIT","D","750000"
"*06sn9*","50","Kashawn Aitcheson","NYI","D","1575000"
"*01zs4*","51","Sami Aittokallio","","G","750000"
"*025gx*","52","Jason Akeson","","F","750000"
"*06ba8*","53","Beau Akey","EDM","D","949167"
"*05nik*","54","Artur Akhtyamov","TOR","G","900000"
"*03wkg*","55","Alexandre Alain","MTL","F","750000"
"*076jh*","56","Samu Alalauri","CHI","D","750000"
"*062dr*","57","Danil Alalykin","","F","750000"
"*06xwk*","58","Reko Alanko","UTA","D","750000"
"*05tuz*","59","Eric Alarie","","F","750000"
"*06jhj*","60","Arttu Alasiurua","","F","750000"
"*004n7*","61","Paul Albers","","D","750000"
"*0243z*","62","John Albert","","F","750000"
"*01n7e*","63","Johan Alcen","COL","F","750000"
"*06mqi*","64","Parker Alcos","VAN","D","750000"
"*02yry*","65","Brandon Alderson","","F","750000"
"*038ic*","66","Alex Aleardi","CBJ","F","750000"
"*0644k*","67","Daniel Alexander Jencko","","F","750000"
"*05ufo*","68","Gage Alexander","DET","G","750000"
"*04ru3*","69","Jett Alexander","TOR","G","750000"
"*051m3*","70","Nikita Alexandrov","LAK","F","750000"
"*0244w*","71","Viktor Alexandrov","","F","750000"
"*01uog*","72","Yury Alexandrov","","D","750000"
"*04qvj*","73","Alexander Alexeyev","PIT","D","775000"
"*04yk0*","74","Denis Alexeyev","","F","750000"
"*048tp*","75","Dmitry Alexeyev","","D","750000"
"*04ggj*","76","Yaroslav Alexeyev","","F","750000"
"*065fx*","77","Sam Alfano","","F","750000"
"*065il*","78","Matt Alfaro","VAN","F","750000"
"*060ok*","79","Brennan Ali","DET","F","750000"
"*059da*","80","Vladimir Alistrov","","F","750000"
"*012yv*","81","Akim Aliu","","F","750000"
"*06uvr*","82","Anthony Allain-Samake","ANA","D","750000"
"*05tqs*","83","Nolan Allan","SJS","D","750000"
"*042we*","84","Frederic Allard","MTL","D","750000"
"*02g1p*","85","Jean-Simon Allard","BUF","F","750000"
"*06h7v*","86","Owen Allard","UTA","F","894167"
"*06b7e*","87","Tristan Allard","TBL","F","750000"
"*062dx*","88","Cameron Allen","WSH","D","750000"
"*02zga*","89","Conor Allen","","D","750000"
"*016kv*","90","Jake Allen","NJD","G","1800000"
"*048t5*","91","Scott Allen","","F","750000"
"*042vw*","92","Wade Allison","","F","750000"
"*03cve*","93","Johan Alm","","D","750000"
"*042y3*","94","Niclas Almari","","D","750000"
"*0385o*","95","Barry Almeida","","F","750000"
"*03l0v*","96","Justin Almeida","","F","750000"
"*01cfn*","97","Cody Almond","","F","750000"
"*01nlo*","98","Adam Almquist","","D","750000"
"*05td2*","99","Marcus Almquist","","F","750000"
"*003py*","100","Jonas Almtorp","","F","750000"
"*051tp*","101","Hugo Alnefelt","TBL","G","750000"
"*06c5o*","102","Vilmer Alriksson","VAN","F","931667"
"*062dq*","103","Marek Alscher","FLA","D","918333"
"*03bds*","104","Oscar Alsenfelt","","G","750000"
"*050hg*","105","Olle Alsing","","D","750000"
"*01zu4*","106","Mark Alt","SJS","D","750000"
"*06cg2*","107","Dennis Altorn","","F","750000"
"*02npu*","108","Daniel Altshuller","","G","750000"
"*04f1a*","109","Andrei Altybarmakyan","","F","750000"
"*05226*","110","Ilya Altybarmakyan","","F","750000"
"*03yfk*","111","Matthew Alvaro","","F","750000"
"*004of*","112","Karl Alzner","","D","750000"
"*03ebr*","113","Michael Amadio","OTT","F","2600000"
"*05o4m*","114","Nils Aman","","F","825000"
"*05ltz*","115","Colby Ambrosio","COL","F","750000"
"*076y6*","116","Lucas Ambrosio","LAK","D","750000"
"*01n8c*","117","Seth Ambroz","","F","750000"
"*01dlp*","118","Andres Ambuhl","","F","750000"
"*06sqi*","119","Carter Amico","PHI","D","750000"
"*06uhb*","120","Lirim Amidovski","MIN","F","750000"
"*0440q*","121","Ty Amonte","","F","750000"
"*031qi*","122","Terrance Amorosa","MTL","D","750000"
"*076q4*","123","Landon Amrhein","","F","750000"
"*03aqr*","124","Sam Anas","WSH","F","750000"
"*06mbf*","125","Daniil Anatsky","","F","750000"
"*065h0*","126","Julien Anctil","DET","F","750000"
"*076x8*","127","Morgan Anderberg","TBL","F","750000"
"*01zry*","128","Frederik Andersen","EDM","G","2800000"
"*03qb9*","129","Niclas Andersen","","D","750000"
"*074me*","130","Poul Andersen","","F","750000"
"*023p1*","131","Brandon Anderson","","G","750000"
"*00zfw*","132","Chad Anderson","MTL","D","750000"
"*076xp*","133","Darian Anderson","NYR","F","750000"
"*06ay3*","134","Hunter Anderson","","F","750000"
"*023ov*","135","J.P. Anderson","SJS","G","750000"
"*0746e*","136","Jack Anderson","DAL","D","1050000"
"*042wa*","137","Joey Anderson","CHI","F","800000"
"*02o70*","138","Josh Anderson","MTL","F","5500000"
"*060pr*","139","Kent Anderson","","D","750000"
"*02dqc*","140","Matt Anderson","TOR","F,D","750000"
"*04f1z*","141","Mikey Anderson","LAK","D","4125000"
"*04f0s*","142","Jaret Anderson-Dolan","","F","775000"
"*0760l*","143","Adam Andersson","MIN","F","750000"
"*04f8p*","144","Anton Andersson","STL","D","750000"
"*04qy9*","145","Axel Andersson","","D","750000"
"*02nqm*","146","Calle Andersson","","D","750000"
"*01bvg*","147","Joakim Andersson","","F","750000"
"*048wz*","148","Lias Andersson","MTL","F","750000"
"*07740*","149","Ludvig Andersson","","F","750000"
"*01uos*","150","Peter Andersson","","D","750000"
"*03rf5*","151","Rasmus Andersson","VGK","D","750000"
"*05rim*","152","Yusaku Ando","","F","750000"
"*05o66*","153","Corey Andonovski","FLA","F","750000"
"*06cec*","154","Matthew Andonovski","OTT","D","928333"
"*05k9a*","155","Emil Andrae","TOR","D","925000"
"*060q5*","156","Pontus Andreasson","DET","F","750000"
"*05224*","157","Cedrick Andree","","G","750000"
"*06h9l*","158","Max Andreev","","F","750000"
"*05uw0*","159","Viggo Andren","","G","750000"
"*04ofx*","160","Viktor Andren","","G","750000"
"*02eg3*","161","Andy Andreoff","","F","750000"
"*02fk7*","162","Brent Andrews","","F","750000"
"*06qqd*","163","Pyotr Andreyanov","CBJ","G","750000"
"*05ybi*","164","Maxim Andreyev","","F","750000"
"*02zri*","165","Sven Andrighetto","","F","750000"
"*01nlk*","166","Sergey Andronov","","F","750000"
"*01zuj*","167","Bryce Aneloski","OTT","D","750000"
"*042wp*","168","Jonathan Ang","","F","750000"
"*004lp*","169","Mike Angelidis","CGY","F","750000"
"*03ed3*","170","Anthony Angello","","F","750000"
"*051wd*","171","Tyler Angle","","F","750000"
"*06803*","172","Dylan Anhorn","CHI","D","850000"
"*0243t*","173","Vitaly Anikeyenko","OTT","D","750000"
"*00404*","174","Artem Anisimov","DET","F","750000"
