*03kq8*	1	"Mikkel Aagaard"	(N/A)	C,Skt	750000
*04xla*	2	"Leevi Aaltonen"	NYR	RW,Skt	750000
*031sv*	3	"Miro Aaltonen"	(N/A)	C,Skt	750000
*060w9*	4	"Wyatt Aamodt"	COL	D,Skt	812500
*071wn*	5	"Niklas Aaram-Olsen"	VAN	RW,Skt	750000
*060vk*	6	"Joseph Abate"	BOS	LW,Skt	750000
*04ybg*	7	"Peter Abbandonato"	PIT	C,Skt	750000
*01zrf*	8	"Konrad Abeltshauser"	(N/A)	D,Skt	750000
*02dpy*	9	"Pontus Aberg"	(N/A)	RW,Skt	750000
*01mzm*	10	"Cameron Abney"	(N/A)	RW,Skt	750000
*03rxe*	11	"Rodrigo Abols"	PHI	C,Skt	750000
*04zr6*	12	"Mikhail Abramov"	STL	C,Skt	750000
*03yua*	13	"Vitaly Abramov"	OTT	RW,Skt	750000
*05y9j*	14	"Gavin Abric"	(N/A)	G	750000
*05oz0*	15	"Ruslan Abrosimov"	(N/A)	C,Skt	750000
*050nl*	16	"Nick Abruzzese"	TBL	C,Skt	850000
*05907*	17	"Matt Abt"	PIT	D,Skt	750000
*03pd1*	18	"Noel Acciari"	PHI	RW,Skt	750000
*03d03*	19	"Carl Ackered"	(N/A)	D,Skt	750000
*025nk*	20	"Sena Acolatse"	(N/A)	D,Skt	750000
*031vd*	21	"Will Acton"	(N/A)	C,Skt	750000
*01gea*	22	"Luke Adam"	(N/A)	C,Skt	750000
*05rah*	23	"Olivier Adam"	(N/A)	G	750000
*042ym*	24	"Collin Adams"	(N/A)	LW,Skt	750000
*04f7p*	25	"John Adams"	DET	RW,Skt	750000
*02ye7*	26	"Mark Adams"	(N/A)	D,Skt	750000
*06cdu*	27	"Tanner Adams"	(N/A)	RW,Skt	750000
*04xb9*	28	"Morgan Adams-Moisan"	CHI	RW,Skt	750000
*04lcz*	29	"Calen Addison"	(N/A)	D,Skt	775000
*03rk2*	30	"Jeremiah Addison"	(N/A)	LW,Skt	750000
*06pn6*	31	"Ayodele Adeniye"	WSH	DEFAULT,Skt	750000
*05o4g*	32	"David Aebischer"	(N/A)	D,Skt	750000
*06yds*	33	"Mike Aeschlimann"	(N/A)	RW,Skt	750000
*04zou*	34	"Egor Afanasyev"	SJS	LW,Skt	800000
*06sq3*	35	"Maxim Agafonov"	SEA	D,Skt	750000
*01zss*	36	"Kenny Agostino"	(N/A)	LW,Skt	750000
*02ygs*	37	"Andrew Agozzino"	UTA	LW,Skt	775000
*051tu*	38	"Layton Ahac"	(N/A)	D,Skt	750000
*04aoy*	39	"Jack Ahcan"	NSH	D,Skt	875000
*05gcz*	40	"Roman Ahcan"	CBJ	LW,Skt	750000
*03rge*	41	"Filip Ahl"	(N/A)	LW,Skt	750000
*04ffu*	42	"Adam Ahman"	(N/A)	G	750000
*005i7*	43	"Jonas Ahnelov"	(N/A)	D,Skt	750000
*05lun*	44	"Karri Aho"	(N/A)	D,Skt	750000
*03el6*	45	"Sebastian Aho"	PIT	D,Skt	750000
*03rmx*	46	"Sebastian Aho"	CAR	C,Skt	9750000
*05uvz*	47	"Cade Ahrenholz"	(N/A)	RW,Skt	750000
*067zz*	48	"Danil Aimurzin"	(N/A)	C,Skt	750000
*076wv*	49	"Juuso Ainasto"	TOR	G	750000
*051wc*	50	"Santeri Airola"	PIT	D,Skt	750000
*06sn9*	51	"Kashawn Aitcheson"	NYI	D,Skt	1575000
*01zs4*	52	"Sami Aittokallio"	(N/A)	G	750000
*025gx*	53	"Jason Akeson"	(N/A)	RW,Skt	750000
*06ba8*	54	"Beau Akey"	EDM	D,Skt	949167
*05nik*	55	"Artur Akhtyamov"	TOR	G	900000
*03wkg*	56	"Alexandre Alain"	MTL	C,Skt	750000
*076jh*	57	"Samu Alalauri"	CHI	D,Skt	750000
*062dr*	58	"Danil Alalykin"	(N/A)	LW,Skt	750000
*06xwk*	59	"Reko Alanko"	UTA	D,Skt	750000
*05tuz*	60	"Eric Alarie"	(N/A)	LW,Skt	750000
*06jhj*	61	"Arttu Alasiurua"	(N/A)	C,Skt	750000
*004n7*	62	"Paul Albers"	(N/A)	D,Skt	750000
*0243z*	63	"John Albert"	(N/A)	C,Skt	750000
*01n7e*	64	"Johan Alcen"	COL	LW,Skt	750000
*06mqi*	65	"Parker Alcos"	VAN	D,Skt	750000
*02yry*	66	"Brandon Alderson"	(N/A)	RW,Skt	750000
*038ic*	67	"Alex Aleardi"	CBJ	RW,Skt	750000
*0644k*	68	"Daniel Alexander Jencko"	(N/A)	C,Skt	750000
*05ufo*	69	"Gage Alexander"	DET	G	750000
*04ru3*	70	"Jett Alexander"	TOR	G	750000
*051m3*	71	"Nikita Alexandrov"	LAK	C,Skt	750000
*0244w*	72	"Viktor Alexandrov"	(N/A)	RW,Skt	750000
*01uog*	73	"Yury Alexandrov"	(N/A)	D,Skt	750000
*04qvj*	74	"Alexander Alexeyev"	PIT	D,Skt	775000
*04yk0*	75	"Denis Alexeyev"	(N/A)	C,Skt	750000
*048tp*	76	"Dmitry Alexeyev"	(N/A)	D,Skt	750000
*04ggj*	77	"Yaroslav Alexeyev"	(N/A)	LW,Skt	750000
*065fx*	78	"Sam Alfano"	(N/A)	RW,Skt	750000
*065il*	79	"Matt Alfaro"	VAN	C,Skt	750000
*060ok*	80	"Brennan Ali"	DET	C,Skt	750000
*059da*	81	"Vladimir Alistrov"	(N/A)	LW,Skt	750000
*012yv*	82	"Akim Aliu"	(N/A)	RW,Skt	750000
*06uvr*	83	"Anthony Allain-Samake"	ANA	D,Skt	750000
*05tqs*	84	"Nolan Allan"	SJS	D,Skt	750000
*042we*	85	"Frederic Allard"	MTL	D,Skt	750000
*02g1p*	86	"Jean-Simon Allard"	BUF	C,Skt	750000
*06h7v*	87	"Owen Allard"	UTA	C,Skt	894167
*06b7e*	88	"Tristan Allard"	TBL	C,Skt	750000
*062dx*	89	"Cameron Allen"	WSH	D,Skt	750000
*02zga*	90	"Conor Allen"	(N/A)	D,Skt	750000
*016kv*	91	"Jake Allen"	NJD	G	1800000
*048t5*	92	"Scott Allen"	(N/A)	LW,Skt	750000
*06gxy*	93	"Ben Allison"	SJS	DEFAULT,Skt	750000
*042vw*	94	"Wade Allison"	(N/A)	RW,Skt	750000
*03cve*	95	"Johan Alm"	(N/A)	D,Skt	750000
*042y3*	96	"Niclas Almari"	(N/A)	D,Skt	750000
*0385o*	97	"Barry Almeida"	(N/A)	LW,Skt	750000
*03l0v*	98	"Justin Almeida"	(N/A)	C,Skt	750000
*01cfn*	99	"Cody Almond"	(N/A)	C,Skt	750000
*01nlo*	100	"Adam Almquist"	(N/A)	D,Skt	750000
*05td2*	101	"Marcus Almquist"	(N/A)	RW,Skt	750000
*003py*	102	"Jonas Almtorp"	(N/A)	C,Skt	750000
*051tp*	103	"Hugo Alnefelt"	TBL	G	750000
*06c5o*	104	"Vilmer Alriksson"	VAN	LW,Skt	931667
*062dq*	105	"Marek Alscher"	FLA	D,Skt	918333
*03bds*	106	"Oscar Alsenfelt"	(N/A)	G	750000
*050hg*	107	"Olle Alsing"	(N/A)	D,Skt	750000
*01zu4*	108	"Mark Alt"	SJS	D,Skt	750000
*06cg2*	109	"Dennis Altorn"	(N/A)	LW,Skt	750000
*02npu*	110	"Daniel Altshuller"	(N/A)	G	750000
*04f1a*	111	"Andrei Altybarmakyan"	(N/A)	RW,Skt	750000
*05226*	112	"Ilya Altybarmakyan"	(N/A)	RW,Skt	750000
*03yfk*	113	"Matthew Alvaro"	(N/A)	LW,Skt	750000
*004of*	114	"Karl Alzner"	(N/A)	D,Skt	750000
*03ebr*	115	"Michael Amadio"	OTT	RW,Skt	2600000
*05o4m*	116	"Nils Aman"	(N/A)	C,Skt	825000
*05ltz*	117	"Colby Ambrosio"	COL	C,Skt	750000
*076y6*	118	"Lucas Ambrosio"	LAK	D,Skt	750000
*01n8c*	119	"Seth Ambroz"	(N/A)	RW,Skt	750000
*01dlp*	120	"Andres Ambuhl"	(N/A)	RW,Skt	750000
*06sqi*	121	"Carter Amico"	PHI	D,Skt	750000
*06uhb*	122	"Lirim Amidovski"	MIN	RW,Skt	750000
*0440q*	123	"Ty Amonte"	(N/A)	RW,Skt	750000
*031qi*	124	"Terrance Amorosa"	MTL	D,Skt	750000
*076q4*	125	"Landon Amrhein"	(N/A)	RW,Skt	750000
*06h1m*	126	"Andre Anania"	PIT	DEFAULT,Skt	750000
*03aqr*	127	"Sam Anas"	WSH	C,Skt	750000
*06mbf*	128	"Daniil Anatsky"	(N/A)	C,Skt	750000
*065h0*	129	"Julien Anctil"	DET	C,Skt	750000
*076x8*	130	"Morgan Anderberg"	TBL	LW,Skt	750000
*01zry*	131	"Frederik Andersen"	EDM	G	2800000
